,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,244,Saint-Brès,0 à 10 000,354,"1,362",-9,n.c.,n.c.,137,890,99,860
,244,Saint-Brès,10 001 à 12 000,93,"1,030",-9,n.c.,n.c.,58,703,37,531
,244,Saint-Brès,12 001 à 15 000,169,"2,264",-6,n.c.,n.c.,129,"2,030",n.c.,n.c.
,244,Saint-Brès,15 001 à 20 000,352,"6,149",14,123,"2,248",281,"5,566",83,"1,521"
,244,Saint-Brès,20 001 à 30 000,418,"10,128",209,252,"6,111",325,"8,574",103,"2,566"
,244,Saint-Brès,30 001 à 50 000,448,"17,331",573,341,"13,285",323,"12,338",175,"5,939"
,244,Saint-Brès,50 001 à 100 000,246,"16,488","1,117",225,"15,249",220,"14,407",51,"1,794"
,244,Saint-Brès,+ de 100 000,56,"8,046","1,109",n.c.,n.c.,49,"5,331",n.c.,n.c.
,244,Saint-Brès,Total,"2,136","62,797","2,998",999,"44,641","1,522","49,839",594,"14,394"
,245,Saint-Chinian,0 à 10 000,376,"1,613",-33,n.c.,n.c.,107,681,187,"1,480"
,245,Saint-Chinian,10 001 à 12 000,88,972,-5,n.c.,n.c.,45,n.c.,48,679
,245,Saint-Chinian,12 001 à 15 000,103,"1,380",-24,n.c.,n.c.,66,"1,005",41,n.c.
,245,Saint-Chinian,15 001 à 20 000,222,"3,890",7,75,"1,374",120,"2,300",111,"2,200"
,245,Saint-Chinian,20 001 à 30 000,221,"5,349",79,110,"2,623",116,"2,664",120,"2,873"
,245,Saint-Chinian,30 001 à 50 000,175,"6,662",185,128,"4,959",95,"3,288",107,"3,599"
,245,Saint-Chinian,50 001 à 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,"2,028",n.c.,"2,030"
,245,Saint-Chinian,+ de 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,245,Saint-Chinian,Total,"1,269","25,917",743,395,"14,493",595,"12,948",657,"13,730"
,246,Entre-Vignes,0 à 10 000,192,827,-15,n.c.,n.c.,76,540,57,543
,246,Entre-Vignes,10 001 à 12 000,53,581,-6,n.c.,n.c.,26,318,n.c.,n.c.
,246,Entre-Vignes,12 001 à 15 000,75,"1,001",-4,n.c.,n.c.,54,799,29,379
,246,Entre-Vignes,15 001 à 20 000,171,"2,985",-1,52,949,122,"2,459",48,987
,246,Entre-Vignes,20 001 à 30 000,212,"5,217",78,107,"2,629",141,"3,548",90,"2,101"
,246,Entre-Vignes,30 001 à 50 000,282,"10,976",371,203,"8,020",187,"7,505",122,"4,045"
